group	n_subj	prepost	eta_DMN	eta_Vis	eta_LCN	eta_BF	eta_HPF	eta_Th	g	tag
ACA	2	pre	-4.3177730550571365	-4.879597975283253	-3.573620523725237	-3.704250671425644	-4.007969111812358	-3.699131128739338	0.5042911731466955	11
ACA	2	post	-3.823316744395665	-4.9421679973602295	-3.572253718668101	-3.704114802029668	-3.806192008816466	-3.597842498701446	0.486429146357945	11
ACA	2	pre	-4.4832676916706315	-4.82694910010513	-3.589003314777296	-3.704250092409095	-4.2693014534152285	-3.9590789639219945	0.5578047754813213	12
ACA	2	post	-4.0696112768990655	-4.7758813877494966	-3.582131424728705	-3.7040939622995803	-3.7542151723589217	-3.649839294200041	0.4212701618671417	12
ACA	2	pre	-4.492213137295781	-4.926775251116071	-3.583625180380685	-3.908026413041718	-4.2572018564963825	-3.7501482476993484	0.5639775821140834	13
ACA	2	post	-4.302154356119584	-4.725140196936471	-3.6258960256771164	-3.7039756774902344	-3.9581908109236736	-3.958856592372972	0.48580777645111084	13
ACA	2	pre	-4.304565492941409	-4.929362569536481	-3.6113478504881567	-3.7040717309835007	-3.899483233082051	-3.648761369744126	0.4837569040911538	14
ACA	2	post	-4.035877874919347	-4.877454884198247	-3.6165730612618585	-3.7038243741405252	-3.9584233322922064	-3.700959619210691	0.4583577592762149	14
ACA	2	pre	-4.474134985281497	-4.724131005150931	-3.62019005600287	-3.7042071332736892	-4.2668867257176615	-3.755142396810103	0.5451516296182359	15
ACA	2	post	-3.852232718954281	-4.935918194907052	-3.5659202556220855	-3.704105936751074	-3.703971483269516	-3.6409720304060955	0.45889150974701864	15
ACA	2	pre	-4.535439384226897	-4.979656433572575	-3.5803892320516155	-4.061545177381866	-4.35489052169177	-4.249880197096844	0.5941449531487056	16
ACA	2	post	-4.326174599783761	-4.774381822469283	-3.617282955013976	-3.806025169333633	-3.9977132252284457	-4.057976858956473	0.47777004327092853	16
ACA	2	pre	-4.292254992893764	-4.882729744424625	-3.6008484850124436	-3.80601353548011	-4.169275590351649	-3.8560053280421664	0.5141516370432717	17
ACA	2	post	-4.151275109271614	-4.825847727911813	-3.61474795244178	-3.704254160121996	-3.8055366739934806	-3.7393322964103857	0.43354979948121675	17
ACA	2	pre	-4.542423292082184	-4.674900191170829	-3.607108787614472	-3.754801896153664	-4.392251579128966	-4.009823658028427	0.5624058204037803	18
ACA	2	post	-3.933125135849933	-4.877367311594438	-3.6063451085771834	-3.704011537590805	-3.8569228308541432	-3.6429788239148198	0.43753768716539654	18
ACA	2	pre	-4.308580267186068	-4.936602388109479	-3.596136681887568	-3.7041452758166256	-4.098149289890212	-3.689676216670445	0.5301497067723956	19
ACA	2	post	-4.4187212282297565	-4.824338655082547	-3.620489246991216	-3.7545911535924796	-4.109621699975461	-3.889756660072171	0.4994428881577083	19
ACA	2	pre	-4.549102457202211	-4.826809488997167	-3.623786176953997	-3.7550754839060256	-4.4013807968217495	-4.009122342479472	0.5710514443261283	20
ACA	2	post	-4.075202212041738	-4.8268627487883276	-3.5914890182261563	-3.7549518079173807	-3.9590262490875867	-3.6883576451515663	0.4905361034432236	20
ACA	2	pre	-4.322801463458003	-4.724197022768916	-3.575941650234923	-3.70379444531032	-4.074241511675776	-3.8056781681216494	0.5066378457205636	21
ACA	2	post	-3.931556541092542	-4.880705940480135	-3.5781840158968556	-3.7551317409593232	-3.857048920222691	-3.6427650451660156	0.46606405778807036	21
ACA	3	pre	-4.335071578317759	-5.0842446891628965	-3.5922973301945897	-3.7552987020842883	-4.185039009366717	-3.8913354630372963	0.5470073137964522	22
ACA	3	post	-4.1102151773413835	-4.880319614799655	-3.5922815848369987	-3.7041549342019215	-3.7545829013902314	-3.7938597542898997	0.4598979524203709	22
ACA	3	pre	-4.2970123291015625	-4.989253705861617	-3.614614739709971	-3.7040651039201387	-4.053440541637187	-3.7007379580517203	0.5202394468443734	23
ACA	3	post	-3.9381378134902643	-4.938545090811593	-3.5826868037788238	-3.703884728100835	-3.7040341241019115	-3.6525518358970173	0.4447596158300127	23
ACA	3	pre	-4.1366047859191895	-4.94490875516619	-3.5694679240791167	-3.7554581700539105	-4.061321044454769	-3.6438046280218632	0.5029642764402895	24
ACA	3	post	-4.190703129281803	-4.884100855613241	-3.624231649904835	-3.7039790104846566	-3.7548654420035223	-3.739305243200185	0.48788029685312384	24
ACA	3	pre	-3.8650244158141467	-4.98401030715631	-3.567094900170151	-3.704047310109041	-3.908109241602372	-3.652554531486667	0.46565085527848227	25
ACA	3	post	-3.86324135138064	-5.01927189924279	-3.5977978414418748	-3.704063289019526	-3.7549175145674725	-3.651523395460479	0.47862723895481657	25
ACA	3	pre	-4.175404402674461	-4.939070667539324	-3.5842302770030745	-3.703913367524439	-3.9058222576063506	-3.7519916320333673	0.48315156965839623	26
ACA	3	post	-3.972001825060163	-4.951950822557722	-3.6195607769246005	-3.704075526218025	-3.8052225745454127	-3.651549057084687	0.4473752166543688	26
ACA	3	pre	-4.1210702876655425	-4.977471468399982	-3.5851808956691196	-3.7040570171511904	-3.7552072661263605	-3.647682861405976	0.4667389830764459	27
ACA	3	post	-3.957392663371806	-4.947082689830236	-3.570903568851705	-3.7039583799790363	-3.8063222583459346	-3.651617731366839	0.45802747351782663	27
ACA	3	pre	-4.085659134144686	-4.980761683717066	-3.5965249003196247	-3.7546952208694147	-4.008663683521505	-3.6433939836463147	0.4860460673059736	28
ACA	3	post	-3.871689558029175	-4.944274255207606	-3.5686661175319125	-3.7041811748426787	-3.8566602979387556	-3.6516821919655316	0.45909048951402	28
ACA	3	pre	-4.320289358800771	-4.9845059550538355	-3.5690890672255535	-3.7041555862037505	-4.103430436581982	-3.701806136540004	0.5409452124517791	29
ACA	3	post	-4.114977350040358	-4.87518395209799	-3.5822129930768694	-3.8060884329737448	-3.8568624768938338	-3.6988636522876974	0.48602734658182883	29
ACA	3	pre	-4.471095308965566	-4.929881266185216	-3.5942245551518033	-3.8062154906136647	-4.184711524418422	-3.802884408405849	0.5403901533204682	30
ACA	3	post	-4.33789215282518	-4.878677348701322	-3.618443167939478	-3.7039188657488142	-3.952612575219602	-3.907277369985775	0.47622816051755634	30
ACA	3	pre	-4.34041969630183	-4.832000406420961	-3.608355230214644	-3.755202828621378	-4.152112688337054	-3.651806627001081	0.519078755257081	31
