	eta_DMN	group	n_subj	prepost
54	-4.069653296957211	RSC	2	pre
55	-3.907806415947116	RSC	2	post
56	-4.180640103865643	RSC	2	pre
57	-4.121246152994584	RSC	2	post
58	-4.301772915587133	RSC	2	pre
59	-3.8522074271221554	RSC	2	post
60	-4.19675477183595	RSC	2	pre
61	-3.8440904811936982	RSC	2	post
62	-3.8796148640768866	RSC	2	pre
63	-3.8114685331072127	RSC	2	post
64	-3.9404482646864287	RSC	2	pre
65	-3.8431927330639897	RSC	2	post
66	-4.231938702719552	RSC	2	pre
67	-3.906462932119564	RSC	2	post
68	-3.916165283748082	RSC	3	pre
69	-3.9032817081529267	RSC	3	post
70	-4.450301486618665	RSC	3	pre
71	-4.044179103812393	RSC	3	post
72	-4.257744107927595	RSC	3	pre
73	-3.907922939378388	RSC	3	post
74	-4.338518181625678	RSC	3	pre
75	-4.025971548897879	RSC	3	post
76	-4.126265048980713	RSC	3	pre
77	-3.7721246797211316	RSC	3	post
78	-4.2443680082048685	RSC	3	pre
79	-3.9075502230196584	RSC	3	post
80	-4.480056675112977	RSC	3	pre
81	-3.873807162654643	RSC	3	post
82	-4.3203336073427785	RSC	3	pre
83	-3.972644786445462	RSC	3	post
84	-3.8882637315866897	RSC	3	pre
85	-3.858804362160819	RSC	3	post
86	-3.8679401923199093	RSC	3	pre
87	-3.7842075289512165	RSC	3	post
88	-4.256770226420189	RSC	3	pre
89	-4.060635192053659	RSC	3	post
90	-4.186239378792899	RSC	3	pre
91	-3.8997485686321647	RSC	3	post
92	-4.361799960233727	RSC	3	pre
93	-3.9255181575308042	RSC	3	post
94	-4.415289324157092	RSC	3	pre
95	-3.93329085622515	RSC	3	post
96	-4.007692492738062	RSC	3	pre
97	-3.8544993595201142	RSC	3	post
98	-4.532177428809964	RSC	3	pre
99	-3.973275525229318	RSC	3	post
100	-4.030688796724592	RSC	3	pre
101	-3.8983652251107355	RSC	3	post
102	-4.007458959306989	RSC	3	pre
103	-3.889422912986911	RSC	3	post
104	-4.42847060670658	RSC	3	pre
105	-4.044414452144078	RSC	3	post
106	-3.9837463923863004	RSC	3	pre
107	-3.822090465195325	RSC	3	post
108	-4.13229496625005	RSC	4	pre
109	-3.841697615020129	RSC	4	post
110	-3.920797216648958	RSC	4	pre
111	-3.8181633803309225	RSC	4	post
112	-4.391541364241619	RSC	4	pre
113	-4.0161270706021055	RSC	4	post
114	-3.902596439634051	RSC	4	pre
115	-3.7945817538670132	RSC	4	post
116	-3.966268417786579	RSC	4	pre
117	-3.8658142576412278	RSC	4	post
118	-4.509244169507708	RSC	4	pre
119	-4.255754616795754	RSC	4	post
120	-4.308784470266225	RSC	4	pre
121	-4.027091337710011	RSC	4	post
122	-4.204707204079141	RSC	4	pre
123	-3.822250998750025	RSC	4	post
124	-4.503979507757693	RSC	4	pre
125	-4.007377522332328	RSC	4	post
126	-4.4802619875693805	RSC	4	pre
127	-3.974271219603869	RSC	4	post
128	-4.451264853380164	RSC	4	pre
129	-4.1620102561250025	RSC	4	post
130	-4.355208114701874	RSC	4	pre
131	-3.9797709328787665	RSC	4	post
132	-4.434192672067759	RSC	4	pre
133	-3.7992642558350855	RSC	4	post
134	-4.074895644674496	RSC	4	pre
135	-3.8804099267842815	RSC	4	post
136	-3.946811685756761	RSC	4	pre
137	-3.9100673636611627	RSC	4	post
138	-4.433444762716488	RSC	4	pre
