group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6,ks_fc,ks_fcd,ks_fc_fcd,corr_fc
RSC,1,43,0.6468381,-4.5952716,-4.9693437,-4.539809,-3.653133,-5.6016383,-5.538084,1.0,1.0,2.0,0.0
RSC,1,44,0.82478577,-4.6466618,-5.7071133,-4.6511555,-4.9863396,-4.781221,-4.905378,0.2837791495198903,0.41107117511045993,0.6948503246303502,0.23710652284670514
RSC,1,45,0.86826885,-4.3524446,-5.8750014,-4.56292,-4.1469455,-4.835716,-4.596649,0.6659807956104253,0.4209152720862618,1.0868960676966872,0.19844054462746177
RSC,1,46,0.8353596,-3.6021624,-5.2705517,-4.6527715,-5.483928,-5.8234262,-4.956612,0.07938957475994513,0.7781415260639637,0.8575311008239088,0.06917315583544859
RSC,1,47,0.74799055,-3.9875712,-5.7486286,-4.4252563,-3.7318974,-5.174508,-4.7651105,1.0,1.0,2.0,0.0
RSC,1,48,0.82626456,-3.7643979,-5.641966,-3.904889,-5.5841393,-5.5292783,-5.428745,1.0,1.0,2.0,0.0
RSC,1,49,0.68258506,-4.1644144,-4.2499065,-5.1968966,-4.669221,-3.789907,-4.918921,0.11539780521262,0.7310272200728005,0.8464250252854205,0.0266669669253544
RSC,1,50,0.6697051,-4.1203394,-5.3403378,-4.5612187,-4.0151286,-4.6143403,-5.3512526,0.1550068587105624,0.7881687690300131,0.9431756277405755,0.025658612584097552
RSC,1,51,0.7845804,-3.9441724,-4.742867,-4.7200146,-4.7601476,-4.4938216,-5.5761847,1.0,1.0,2.0,0.0
RSC,1,52,0.7175335,-4.0234265,-4.660309,-5.312562,-4.688804,-3.9992895,-4.1480875,1.0,1.0,2.0,0.0
RSC,1,53,0.5610469,-3.9586353,-4.9404864,-4.615716,-4.5964966,-5.942798,-4.609676,1.0,1.0,2.0,0.0
RSC,1,54,0.74532783,-3.7803457,-4.933977,-4.221545,-4.6333103,-4.780095,-5.571645,0.43312757201646085,0.1304457315537647,0.5635733035702255,-0.0011836965136181596
RSC,1,55,0.68111414,-4.1819167,-4.754981,-4.8743434,-4.132301,-4.72265,-5.05439,0.15792181069958844,0.7642682173027174,0.9221900280023059,0.06152715990335818
RSC,1,56,0.68747807,-4.3504558,-5.297941,-5.017274,-5.1065803,-4.444729,-4.8634934,1.0,1.0,2.0,0.0
RSC,1,57,0.6225918,-4.147783,-5.4462857,-4.513383,-3.860484,-5.7974687,-3.8111215,1.0,1.0,2.0,0.0
RSC,1,58,0.59063745,-3.9125774,-5.090307,-5.2964153,-4.3051686,-3.8443835,-3.866893,1.0,1.0,2.0,0.0
RSC,1,59,0.7234465,-3.8825955,-4.4049788,-5.431225,-4.030479,-5.3414674,-5.3127503,0.15294924554183814,0.7631235548636707,0.9160728004055088,0.11005080120266995
RSC,1,60,0.41514683,-3.875139,-5.4665413,-4.2508373,-4.431951,-5.703949,-4.523707,0.11745541838134432,0.754653052814725,0.8721084711960693,0.05279576097381186
RSC,1,61,0.58673424,-3.8298414,-5.3769274,-4.651634,-3.7184277,-5.8662186,-3.7057586,0.10442386831275724,0.7888097799958792,0.8932336483086365,0.12395402798586976
RSC,1,62,0.7353634,-3.5881338,-4.847697,-5.181641,-4.9473896,-4.492919,-3.9623172,1.0,1.0,2.0,0.0
RSC,1,63,0.6295093,-3.6934009,-4.6577134,-4.9590096,-4.699614,-4.2832966,-4.0558944,0.13665980795610427,0.7761727066688033,0.9128325146249077,0.17828500108186177
RSC,1,64,0.6333934,-3.9315507,-5.1027627,-4.8190074,-4.425604,-4.1492543,-4.3538184,1.0,1.0,2.0,0.0
RSC,1,65,0.7207405,-4.4883676,-5.0795307,-5.4603267,-3.861187,-5.5342836,-5.424261,0.14197530864197533,0.7640392848149081,0.9060145934568835,0.15428659413174836
RSC,1,66,0.7009885,-4.1239896,-5.9722614,-4.454605,-4.96624,-5.0825725,-4.1750016,0.08213305898491086,0.751127492502461,0.8332605514873719,0.10802191258806176
RSC,1,67,0.6945387,-4.207735,-4.950202,-4.8949995,-3.7172017,-5.6206627,-4.376749,0.17163923182441698,0.7656418122295735,0.9372810440539905,0.1150422010813946
RSC,1,68,0.7442483,-4.739826,-4.5314364,-5.13214,-3.6169233,-3.6861384,-3.5635362,0.20404663923182442,0.8035072457132392,1.0075538849450636,0.0673390144786672
RSC,1,69,0.7769195,-4.4761577,-4.984043,-4.738387,-4.6367574,-4.4716063,-3.712495,1.0,1.0,2.0,0.0
RSC,1,70,0.6698425,-4.008992,-5.1027384,-4.891941,-4.603342,-5.725758,-4.953253,0.09636488340192045,0.7166960463359355,0.8130609297378559,0.15782484564210306
