group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6
RSC,0,59,0.71809334,-3.7315683,-4.829443,-5.2036133,-4.420716,-5.781664,-3.6800942
RSC,0,60,0.67842734,-3.848184,-4.9400177,-4.887673,-3.8204563,-4.8922434,-4.0837474
RSC,0,61,0.68947953,-3.5308459,-4.0349236,-5.288916,-3.768636,-4.8978853,-5.028931
RSC,0,62,0.76830363,-3.9841523,-4.521284,-4.9883213,-4.0770574,-5.0334144,-4.0616107
RSC,0,63,0.4986495,-4.0741143,-5.1887097,-4.24496,-3.8027046,-3.7314503,-4.1380653
RSC,0,64,0.5249655,-3.905157,-4.713107,-4.739575,-3.8146605,-5.9630265,-4.3162317
RSC,0,65,0.5271011,-3.8605742,-5.095808,-4.3032765,-3.7570026,-5.8947554,-4.2793655
RSC,0,66,0.52650833,-3.8804853,-5.171349,-4.148937,-3.519692,-5.692419,-3.9236424
RSC,0,67,0.42571566,-3.58045,-4.5917683,-4.618366,-3.5605104,-5.599782,-4.017392
RSC,0,68,0.66049546,-3.5175514,-4.6588054,-5.389081,-3.8775988,-4.7787976,-4.841778
RSC,0,69,0.5516408,-3.8522701,-4.9977684,-4.2087317,-4.1946173,-5.7512407,-4.4556
RSC,0,70,0.5620468,-3.6543052,-4.9207673,-4.6141844,-4.515093,-5.634345,-3.562474
RSC,0,71,0.5254695,-3.954184,-5.1756124,-3.7652545,-4.056235,-5.0055995,-4.9310765
RSC,0,72,0.6629125,-3.866528,-5.8409414,-4.5405784,-5.0334344,-5.673458,-3.9628074
RSC,0,73,0.46186697,-5.6861286,-4.870546,-4.0653133,-4.0704226,-5.992611,-4.273393
RSC,0,74,0.57974625,-3.7860758,-4.8060937,-5.1245103,-3.7757432,-5.824794,-3.6483397
RSC,0,75,0.509414,-3.6337895,-5.468847,-4.5486426,-3.8829303,-5.8967867,-4.405292
RSC,0,76,0.5204741,-4.4494157,-4.7613297,-5.2736855,-3.7614841,-3.799187,-4.823016
RSC,0,77,0.34147528,-3.8849726,-5.380655,-3.9597735,-4.49056,-4.8286157,-4.012991
RSC,0,78,0.6100598,-3.722296,-5.90138,-4.915986,-4.04079,-5.578777,-3.8260276
RSC,0,79,0.92068136,-4.5046854,-4.2550483,-4.7398167,-4.4428144,-5.824794,-4.076325
RSC,0,80,0.7211003,-3.8026798,-4.71966,-4.415674,-5.032035,-5.48086,-4.2855964
RSC,0,81,0.4195494,-3.7794716,-5.088463,-4.4568563,-3.9886239,-5.9631424,-3.8612142
RSC,0,82,0.4149498,-4.196404,-5.4920154,-3.8409624,-4.7366095,-5.9307303,-3.9611967
RSC,0,83,0.5232131,-3.5325162,-4.877151,-4.395534,-4.3992963,-5.8382916,-4.596618
RSC,0,84,0.5998855,-3.9708078,-5.277255,-3.9641764,-3.5978007,-5.641725,-4.8278785
RSC,0,85,0.658028,-3.834312,-4.5997376,-5.3549256,-4.410062,-4.994532,-4.7150717
RSC,0,86,0.59302884,-3.5419745,-5.937658,-4.9426336,-3.5238824,-5.565865,-4.2925596
RSC,0,87,0.4122765,-3.974681,-4.7041636,-3.9487538,-3.5212793,-5.6381273,-4.135837
RSC,0,88,0.44857293,-3.565158,-4.991362,-4.1761518,-3.7447057,-5.909026,-3.9967
RSC,0,89,0.2657699,-4.338154,-4.294718,-4.1465898,-3.5452194,-5.816455,-3.9087205
RSC,0,90,0.7321762,-3.822797,-4.750832,-4.506524,-4.833568,-4.8408594,-4.6282077
RSC,0,91,0.78088707,-4.1032367,-4.3324986,-4.687298,-4.441116,-4.450836,-3.6185312
RSC,0,92,0.794467,-5.11297,-5.018516,-4.96526,-4.198411,-3.5573733,-5.5108843
RSC,0,93,0.4027388,-3.6192575,-5.6389146,-4.037915,-4.6441736,-4.8580203,-3.7325063
RSC,0,94,0.37449932,-3.8596516,-5.244119,-4.232615,-4.324323,-5.894776,-3.596836
RSC,0,95,0.6472357,-3.8506713,-4.965111,-4.6456017,-4.1070857,-5.1991854,-4.6562924
RSC,0,96,0.60679877,-4.002542,-5.9798512,-4.7609725,-4.4394603,-5.4848533,-3.559536
RSC,0,97,0.60895896,-4.1364903,-5.4823084,-3.6922793,-3.5604954,-5.120295,-3.8582141
RSC,0,98,0.39995515,-3.6369555,-4.7735977,-4.5083365,-3.512659,-5.353535,-3.5369182
RSC,0,99,0.47591802,-3.7412083,-5.3795896,-4.844392,-3.6671188,-5.378689,-3.9074996
RSC,1,0,0.66576916,-4.3721976,-5.313164,-4.547706,-4.12799,-4.825176,-5.59428
RSC,1,1,0.88923675,-5.720723,-5.156401,-5.247256,-3.515785,-5.015433,-4.4392843
RSC,1,2,0.7810035,-3.7924638,-5.051427,-5.578199,-5.0238113,-4.4335666,-4.394095
RSC,1,3,0.7004856,-4.1114016,-4.834465,-5.1083417,-4.3964696,-4.7273912,-3.9238307
RSC,1,4,0.5849417,-4.3192525,-5.2976594,-4.3727636,-3.610845,-4.647595,-4.8642616
